rowname,Estimate.Intercept,Est.Error.Intercept,Q2.5.Intercept,Q97.5.Intercept,Estimate.pred_climb_difficulty,Est.Error.pred_climb_difficulty,Q2.5.pred_climb_difficulty,Q97.5.pred_climb_difficulty,n
?Vetcov Serghei,1.6231250632416192e-4,0.20745712753574208,-0.4013902339054759,0.41091375190015195,1.413068322049821e-4,0.01939433179427717,-0.039198363242472084,0.039290244549390056,19
Aaen Jorgensen Jonas,0.0011947147354043964,0.21044889878081943,-0.4235417462575274,0.41467544339973694,-4.6113568453998437e-4,0.019563767974028142,-0.039686727575519415,0.039144134294359055,46
Aalrust Hakon,-0.029954033920311065,0.20404331097185238,-0.4222379805689067,0.3696306934644936,6.684242878466922e-4,0.01858416576698452,-0.03608039482853348,0.036562746206032455,32
Aasheim Aksel,-0.0013561616527714138,0.21130502617010707,-0.4247939692135262,0.42138327344208504,1.2029085039159891e-4,0.01884319526921435,-0.0371682474990871,0.03808279147188731,19
Aaskov Jeppe,0.0017074552501231183,0.20910031343657348,-0.4158625256684611,0.4112756363813556,9.41071403604387e-5,0.01964509448178825,-0.03780899517395058,0.03874160845413702,4
Aasvold Kristian,0.002826863628872312,0.2099847736707595,-0.40476870301518647,0.4083324044472327,3.79217737340517e-5,0.019025518071742645,-0.03858171521529614,0.03851283612862691,48
Abay Burak,8.382828404149774e-4,0.21256961265747212,-0.42487236091749114,0.42432047323512867,-2.089298751365611e-4,0.019606196473698906,-0.03961978899731401,0.039163113766232674,2
Abdul Halil Mohamad Izzat Hilmi,0.002565586695198735,0.20266411882198773,-0.39694483565715966,0.3954018178578158,6.085657777800914e-6,0.019358557619473908,-0.03913571892744964,0.03845961445973308,4
Aberasturi Jon,-0.17412517683806683,0.15802341145086266,-0.49434137898458985,0.12242284344685934,0.0048883406105645205,0.018539697013649704,-0.030023073376063306,0.041627039784598044,126
Abraham Daniel,-7.671370222785705e-4,0.20662554245107356,-0.40161490520362914,0.403518800484141,-2.3259248031313323e-4,0.01901288262020392,-0.038507073949870685,0.038488982888983,18
Abraham Meron,1.4632433733204587e-4,0.21268793209974857,-0.4218123396448608,0.4160120500180397,-1.0686166362957589e-4,0.019053086737529555,-0.038397334258842834,0.03847021849983098,13
Abrahamsen Jonas,-0.00251137413022603,0.20723841122410414,-0.407120343548785,0.405390700009565,1.7458206506660952e-4,0.019157054939930262,-0.03813671750487856,0.038954548452705025,43
Abu-Fares Saned,3.4221406969931915e-4,0.2122296180546948,-0.411791531738391,0.4164055068971804,-4.016633668603532e-5,0.01939588408139316,-0.0392887985836013,0.038374211710309455,4
Acar Fethi,-0.0013532955478269433,0.21007618618580542,-0.42171922181860905,0.4091902301317175,1.828541563907483e-4,0.018928344831305146,-0.038509805482170686,0.03825083036847263,5
Acevedo Janier,0.0021504253508034302,0.21210827278122232,-0.4124351693183903,0.4187158571123148,-1.3111094335440864e-5,0.018648333986006658,-0.03743934255446762,0.03669143008305592,11
Achterberg Yannik,-4.822844129800896e-4,0.21105312810959304,-0.4085619926664256,0.41558866958410373,-5.592078388445026e-5,0.019310678046022708,-0.03733049560633715,0.03814525414471753,2
Ackermann Pascal,0.1281140649302318,0.09726630765854942,-0.06578076294733927,0.3219276805392253,-0.002113555086666422,0.017655040434722442,-0.03692659213708233,0.03277498767940854,127
Acosta Ruben Dario,0.0013342011780153598,0.20641731729907636,-0.40862059081318186,0.40492306167273495,5.196873568805833e-4,0.01861070446325998,-0.036960179469617487,0.03733216978659396,47
Acosta Thomas,-5.607209866433987e-4,0.20152468025861975,-0.39457768612650984,0.384958267626286,-2.5555103164777665e-4,0.01900966384242822,-0.03835938189151839,0.03788625833452696,5
Adamietz Johannes,8.519368670843223e-4,0.2124094687728687,-0.42313247085695416,0.41467417739618323,-1.1203701516043387e-4,0.018896550982112015,-0.03803353779780406,0.03771159398664129,16
Adams Jens,-0.0023121870746926126,0.20840355095817106,-0.42115991047518775,0.40499722353988377,3.6563542111205585e-5,0.018998619575307744,-0.037940011313926145,0.03843715342047784,15
Adria Roger,0.0016886010244416014,0.21041728397300188,-0.3981663537897351,0.4061502619052118,7.813323807015912e-5,0.018983868665212577,-0.039011247857864216,0.03857028375946271,13
Aebi Antoine,0.001618445587888237,0.21124374509132615,-0.4220221504949182,0.4164865970129861,-1.4354460976397817e-4,0.018691081282360016,-0.03836657375852443,0.03701708336561311,9
Aernouts Jim,-0.002571781991451951,0.21384058704181533,-0.4227226996309855,0.42151178422959595,3.156539549796144e-4,0.01915481993631531,-0.03849200843897245,0.038298701911397656,11
Aerts Thijs,-0.002231302295723459,0.2171083467283153,-0.4313129970676804,0.42430960143101126,-8.46214322992736e-5,0.019337105376918698,-0.03896963481808235,0.039218484575174344,17
Aerts Toon,-0.0025267203260483013,0.21342820556783226,-0.4200757072106672,0.4102197034890843,2.3866418873980414e-4,0.019296329998379692,-0.03886417968636838,0.03925188313689712,21
Afewerki Elyas,0.002738827308977668,0.20787091581511163,-0.4080670527496395,0.40694169694082066,5.3803242803035774e-5,0.01843130446535505,-0.03596713454546238,0.03704219698773003,3
Affini Edoardo,-0.05435800727051499,0.18945114290300646,-0.42618661092245963,0.3162247197640711,0.0019609170912909943,0.01814299337359481,-0.032706091634130116,0.0396366467659597,77
Afonso Luis,-9.780482093664292e-4,0.21072513462905174,-0.41070428345128146,0.41827154946140105,3.3508369269778126e-4,0.018522180980057812,-0.03682472460062356,0.036743558433195496,7
Agirre Jon,-3.0946536782350094e-5,0.19890072312976803,-0.3854695441840275,0.40478603968841065,-3.6597386122047093e-4,0.018313990715338534,-0.03698920060844117,0.03627526475620874,17
Agnoli Valerio,0.0016067104536424844,0.21115132744575613,-0.4198077435981113,0.42250162839446403,1.1006354140840383e-4,0.019085089782614698,-0.03820695413161211,0.040282622076424794,104
Agrotis Alexandros,0.0043224962176009315,0.21520551041162603,-0.424978975124417,0.42857314062129653,-1.5115995515792267e-4,0.019172437680830535,-0.03862816878874554,0.038472083578026964,1
Aguirre Hernan Ricardo,6.234834731048761e-4,0.20757515575017232,-0.4101512985085545,0.41064350701104524,-1.1061997556437281e-4,0.019033829817053313,-0.038119441088509766,0.03783965521438314,30
Aguirre Jose Alfredo,3.5480465803829363e-4,0.20834496440952674,-0.40279109050929246,0.4068262751230707,8.317727643460476e-6,0.018844568839107127,-0.038953589828760564,0.0385170668524446,5
Aguirre Sergio,2.076578749765914e-6,0.21005361464571057,-0.41619407797370483,0.40376865503685305,-4.0129243682738825e-5,0.019085112042798717,-0.03629101007178346,0.03773230648497347,18
Agut Maxime,-0.002203779543291661,0.21368147300638912,-0.42793122481779755,0.4116140979797784,-1.3959907758089976e-4,0.018689650102249874,-0.037114878355390006,0.037479944625800996,5
Ahmad Muhammad Ameer,5.699082796471345e-4,0.20198460373062285,-0.3891222098308772,0.39734311650191506,8.426143495556978e-5,0.018682433190156677,-0.036218033399553866,0.03782208355949088,2
Ait El Abdia Anass,-7.054056071018762e-4,0.2008853368687991,-0.390716578211486,0.3963749571411995,2.909643221229107e-6,0.01832268443381517,-0.035780202239343604,0.036892479360536294,31
Akbas Soner,4.592962711123274e-4,0.21152988775883205,-0.41666146395277615,0.4163076796201041,-2.3709398049634404e-4,0.01897152856643328,-0.03799721488889803,0.03751379283560177,3
Akdilek Ahmet,0.0015829394627788521,0.20704219364023219,-0.40120593539594573,0.41426710437697156,-7.611010719300294e-5,0.01855400051531738,-0.03670588840253829,0.037288359050480495,19
Akhmetov Galym,-0.001481542123498762,0.20975417557003506,-0.4137726526759726,0.41618541014171645,1.792865448540216e-4,0.019073192880885242,-0.037658842047509196,0.038609056408569285,9
Al Kaabi Saif Mayoof,-5.277233322143744e-4,0.20893804382430547,-0.41377453712764745,0.4056953697480352,3.41088227760413e-4,0.019599365423057676,-0.03840800402533437,0.03829749356326072,5
Al Mansoori Jaber,1.0647564691254984e-4,0.20709996312108242,-0.40534910783570743,0.4053776107166209,-2.2045636916098155e-4,0.01932075302682887,-0.038738461274502825,0.03907169728769056,3
